Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Composite breakdown,Source details,COMMENT_OBS,Observation-level footnotes,Value
2002,C,"Senegal General Census of Population and Housing 2002. IPUMS-Intertiol, tiol Agency of Statistics and Demography.; Data extracted on 01 April 2022.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.73014
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.57887
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.92818
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.73726
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.66186
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.80798
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.00368
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,1.0284
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.6494
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.20364
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.54949
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Urban,Quintile 1 (poorest),Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
